room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.33225386003047497,0.33225386003047497,17535.6211288392,17535.6211288392,52777.78,35242.1588711608
4.5+1,2,0.29414073682167335,0.29414073682167335,10202.745432656362,10202.745432656362,34219.0,44421.74543265636
5+1,6,0.1602507395718731,0.14706677487606637,6484.617812083575,5119.034790475376,36316.30333333334,35236.167460628916
3.5+1,2,0.13610726117435573,0.13610726117435573,9181.443951152884,9181.443951152884,61497.96,52316.516048847116
4+1,80,0.12620277127976132,0.10642734223580166,5009.032071074411,3684.494285952467,38162.069875,37062.9834923203
1+1,40,0.11770114349832976,0.10700965772048822,6123.240392654628,5443.28135705366,49987.860499999995,47406.65660893405
3+1,400,0.11550250373086078,0.094040351006104,4507.943729977242,3705.369853984721,39217.910575,39188.27799762043
2+1,384,0.08765041526129945,0.07462098836087802,3756.7170812096283,3113.081176334148,42310.314427083336,41920.9508504188
2.5+1,1,0.08681193750629643,0.08681193750629643,3732.9133127707464,3732.9133127707464,43000.0,46732.91331277075
3+2,1,0.03703523352640218,0.03703523352640218,1343.179405794479,1343.179405794479,36267.61,34924.43059420552
4+2,1,0.02819377494408776,0.02819377494408776,977.3842920409588,977.3842920409588,34666.67,33689.28570795904
2+2,1,0.010632759205075002,0.010632759205075002,450.8289902951801,450.8289902951801,42400.0,41949.17100970482
