feature,ones,ratio
near_market,677,0.6650294695481336
near_school,655,0.6434184675834971
near_hospital,650,0.6385068762278978
near_mosque,629,0.6178781925343811
transport_bus_stop,629,0.6178781925343811
near_park,590,0.5795677799607073
near_pharmacy,584,0.5736738703339882
in_steel_door,572,0.5618860510805501
transport_minibus,570,0.5599214145383105
transport_main_road,563,0.5530451866404715
in_laminate_floor,527,0.5176817288801572
near_city_center,520,0.5108055009823183
view_city,512,0.5029469548133595
out_heat_insulation,497,0.48821218074656186
front_south,485,0.4764243614931238
subtype_middle_floor,482,0.47347740667976423
near_mall,432,0.4243614931237721
view_park_green,426,0.41846758349705304
in_heat_glass,393,0.38605108055009824
in_pvc,383,0.3762278978388998
front_east,378,0.3713163064833006
front_west,367,0.3605108055009823
near_university,350,0.343811394891945
transport_e5,327,0.3212180746561886
view_nature,319,0.31335952848722987
out_sound_insulation,316,0.3104125736738703
in_fiber,313,0.3074656188605108
transport_tram,305,0.29960707269155207
out_camera,302,0.2966601178781925
out_children_playground,298,0.29273084479371314
in_intercom,269,0.2642436149312377
front_north,252,0.2475442043222004
in_builtin_kitchen,198,0.1944990176817289
out_security,189,0.1856581532416503
view_sea,172,0.16895874263261296
transport_tem,158,0.15520628683693516
out_sports_area,146,0.14341846758349705
out_pool,120,0.11787819253438114
out_open_pool,117,0.11493123772102161
subtype_duplex,113,0.11100196463654224
in_parent_bathroom,91,0.0893909626719057
subtype_top_floor,90,0.08840864440078586
out_hydrofor,83,0.08153241650294696
in_terrace,80,0.07858546168958742
in_glass_balcony,77,0.0756385068762279
subtype_roof_duplex,67,0.06581532416502947
transport_train,52,0.05108055009823183
transport_metro,51,0.05009823182711198
in_pantry,44,0.043222003929273084
view_pool,42,0.0412573673870334
out_generator,42,0.0412573673870334
in_air_conditioner,37,0.036345776031434185
view_lake,35,0.0343811394891945
transport_airport,30,0.029469548133595286
in_smart_home,30,0.029469548133595286
subtype_garden_duplex,27,0.026522593320235755
out_sauna_hamam,22,0.021611001964636542
in_dressing_room,22,0.021611001964636542
near_sea_zero,19,0.018664047151277015
near_lake_zero,13,0.012770137524557957
out_closed_pool,9,0.008840864440078585
view_bosphorus,7,0.0068762278978389
subtype_reverse_duplex,5,0.004911591355599214
view_river,2,0.0019646365422396855
subtype_triplex,2,0.0019646365422396855
