room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.3322538600304751,0.3322538600304751,17535.621128839208,17535.621128839208,52777.78,35242.15887116079
4.5+1,2,0.2941407368216732,0.2941407368216732,10202.745432656355,10202.745432656355,34219.0,44421.74543265635
5+1,6,0.1602507395718731,0.14706677487606637,6484.617812083575,5119.034790475376,36316.30333333334,35236.167460628916
3.5+1,2,0.1361072611743555,0.1361072611743555,9181.443951152873,9181.443951152873,61497.96,52316.51604884713
4+1,80,0.12620277127976134,0.10642734223580178,5009.032071074411,3684.494285952469,38162.069875,37062.9834923203
1+1,40,0.11770114349832979,0.10700965772048822,6123.240392654629,5443.28135705366,49987.860499999995,47406.65660893405
3+1,400,0.11550250373086078,0.09404035100610361,4507.943729977242,3705.369853984721,39217.910575,39188.27799762043
2+1,384,0.08765041526129945,0.07462098836087802,3756.7170812096288,3113.081176334148,42310.314427083336,41920.9508504188
2.5+1,1,0.08681193750629643,0.08681193750629643,3732.9133127707464,3732.9133127707464,43000.0,46732.91331277075
3+2,1,0.03703523352640218,0.03703523352640218,1343.179405794479,1343.179405794479,36267.61,34924.43059420552
4+2,1,0.028193774944087972,0.028193774944087972,977.3842920409661,977.3842920409661,34666.67,33689.28570795903
2+2,1,0.010632759205075002,0.010632759205075002,450.8289902951801,450.8289902951801,42400.0,41949.17100970482
