decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34090.31992095108,5100.300899211944
1,94,32779.16914893617,36667.49295083048,3888.323801894304
2,90,35039.15233333334,37379.693453210355,2340.541119877022
3,92,36802.27858695651,39155.60079359046,2353.3222066339395
4,93,38664.66096774193,39479.601756921984,814.9407891800536
5,90,40912.58688888889,40516.71192376295,-395.8749651259307
6,92,43037.149456521736,41775.00155616145,-1262.1479003602803
7,92,45705.152934782614,43168.53164668269,-2536.6212880999137
8,92,49382.030000000006,45093.18544880387,-4288.84455119613
9,92,57958.77086956522,47459.01518874051,-10499.755680824708
